,Canción,Artista,Lanzamiento,Género,Emoción inicial,Conocimiento,Familia,Emoción primaria,Emoción secundaria,Emoción Terciaria,Agrado,Escuela,Academia,Sexo,Edad,Español,Inglés,Francés,Catalán
83,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Melancolía,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Cautivador,Fascinante,Trascendente,83,Escuela pública,Ciencias naturales y aplicadas,Femenino,24-26,Avanzado,Intermedio,Nulo,Nulo
84,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Melancolía,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Cautivador,Fascinante,Trascendente,83,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
85,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Serenidad,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Intenso,Triunfante,80,Escuela privada,Ciencias naturales y aplicadas,Femenino,24-26,Avanzado,Avanzado,Nulo,Nulo
86,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Alegría,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,Alegría,Triunfante,81,Escuela privada,Negocios,Femenino,21-23,Avanzado,Avanzado,Básico,Nulo
87,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Serenidad,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Resiliente,Intenso,,56,Escuela privada,Ciencias naturales y aplicadas,No binario,21-23,Avanzado,Intermedio,Básico,Nulo
88,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Sorpresa,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Resiliente,Triunfante,Enérgico,90,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Nulo,Nulo
89,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Alegría,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Fascinante,Trascendente,Calmado,88,Escuela privada,No aplica,Masculino,24-26,Intermedio,Intermedio,Básico,Nulo
90,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Asombro,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,Resiliente,Enérgico,88,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Básico,Nulo
91,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Confianza,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Sentimental,,,33,Escuela privada,Ciencias naturales y aplicadas,Masculino,21-23,Avanzado,Avanzado,Básico,Básico
92,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Alegría,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Asombroso,Nostálgico,Sentimental,100,Escuela privada,Negocios,Masculino,21-23,Avanzado,Avanzado,Básico,Nulo
93,"Alone, Pt. II","Alan Walker, Ava Max",2018,Pop Rock,Serenidad,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Intenso,Resiliente,95,Escuela privada,Ciencias naturales y aplicadas,No binario,21-23,Avanzado,Intermedio,Nulo,Nulo
94,Amarillo,J Balvin,2020,Reggaeton,Aprobación,FALSE,Malestar (Problemas; miseria; estado o condición incómoda),Tenso,Nervioso,Agitado,29,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
